,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,39,30,4,0.0,0.0,0.0542424372285714,0.004632820221999999,0.2388668439742857,0.12425400753714287,0.13113053410285716,0.1486670856714285,10022500,-1.75
1,2021-01-05,42,34,5,0.0,0.0,0.031158115752500003,0.0025547670890000004,0.07361660968249997,0.0827506611925,0.16642441028750002,0.25570558745,4961500,0.02000099999999705
2,2021-01-06,124,112,4,0.0,0.0,0.10179256448307676,0.003161595148307694,0.07203552452669229,0.07595082665076942,0.3857774129861537,0.15759571021076915,6056200,1.0200010000000006
3,2021-01-07,27,19,3,0.0,0.0,0.07569860180434781,0.011385077002173912,0.24399369116086952,0.10558974837826086,0.1274013320652174,0.17937871517391302,6129300,-0.3899990000000031
4,2021-01-08,21,14,2,0.0,0.0,0.07335440549999998,0.0015155119385714285,0.1566365467142857,0.08499876121428573,0.1587877860714286,0.18883173499999997,6482000,-0.48999900000000096
5,2021-01-11,183,151,6,0.0009900200735541876,0.052980132450331126,0.061602693338853584,0.0053917335335668835,0.07595705205414013,0.11560728347388534,0.05542916949235673,0.26401014005095536,14908000,0.5300009999999986
6,2021-01-12,65,52,6,0.0,0.0,0.07195127163773586,0.02363370246981132,0.1107452461811321,0.08367942691698117,0.03780829174150943,0.17464411303962263,7060700,-0.009997999999999507
7,2021-01-13,689,604,16,0.00037523295567297026,0.2980132450331126,0.08833381599722222,0.01321536965305556,0.08893945658762338,0.13352358439629647,0.08195300060725297,0.2766762569263893,144501700,10.979999999999997
8,2021-01-14,609,501,11,0.00046047556694548916,0.08982035928143713,0.07815635003102814,0.005444860859775706,0.11611045124844858,0.1728015394046729,0.07889935046000005,0.22986145177794381,93717400,1.8199999999999932
9,2021-01-15,455,402,15,0.0,0.029850746268656716,0.07927917923142842,0.010790583017357143,0.12082342716404748,0.13460057324499983,0.10229428537023831,0.21791585610619044,46866400,-2.990001999999997
