,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,412,367,-0.1635438315468409,8,0.0036312081219622328,0,0.05155082238774027,0.0038623348727644343,0.15725002271634628,0.09725930743581714,0.05375135580721164,0.18555675892884618,37130100,-4.839997000000011
1,2021-01-05,341,303,-0.24731237597432407,10,0.0,0,0.04076216200799998,0.003976381487846143,0.21098500510923085,0.09359492473938445,0.05526723806399996,0.1706608863587695,23823000,0.6399989999999889
2,2021-01-06,363,295,-0.1941112057423624,7,0.001377595978146942,0,0.0672929859239644,0.005130858308313606,0.18193421946568042,0.0676054019757396,0.07060187152041422,0.1792457624363902,35930700,0.08000200000000746
3,2021-01-07,275,220,-0.21074325584010456,6,0.0,0,0.05045702441181433,0.003854000314810124,0.21603562529746814,0.10229805078987333,0.054568438823206805,0.20131917039367084,27694500,4.25
4,2021-01-08,437,407,-0.2581277988384267,10,0.001394374228281211,0,0.10493680958256901,0.0024737493030275166,0.3079097062222472,0.1017783089983945,0.0753854384807339,0.17736022792362466,22956200,0.9400019999999927
5,2021-01-11,298,246,-0.24726455653929932,10,0.0,0,0.05920916890841751,0.006697990471885516,0.1770869033861953,0.09813617041077445,0.09774749302188551,0.1662468975178451,23031300,-0.9799959999999999
6,2021-01-12,311,260,-0.21220746860985962,5,0.0005472199811801283,0,0.05874290570159239,0.0068900107900636935,0.26076222884681527,0.10515772222675149,0.07140610584968149,0.172554972983758,23249300,-1.570007000000004
7,2021-01-13,228,178,-0.12593406908507918,7,0.000230248729878449,0,0.04276514844237288,0.0027447298497881387,0.21854404603279676,0.1456590727826272,0.0643405781550847,0.2181720365072032,20087100,2.3199920000000134
8,2021-01-14,386,335,-0.1969039683811075,7,0.0004603591287158216,0,0.06871157658693326,0.0035994875775200025,0.2792700781746668,0.11584435208800013,0.056790719853866675,0.18040646166986657,29480800,-2.8899999999999864
9,2021-01-15,354,294,-0.18372173728230276,6,0.0002143866020984665,0,0.06127164518544885,0.0022075547865015505,0.41347334620897835,0.06604672828080498,0.0593987823198142,0.1621612255783282,31746500,-0.8700100000000077
10,2021-01-19,484,426,-0.18951946137865183,15,6.345331697306348e-05,0,0.04773659146908405,0.0028883633381297717,0.14877766527681263,0.12891030043435092,0.0502954078209924,0.21409527296812997,30480900,2.6900019999999927
11,2021-01-20,421,353,-0.18531461077647698,5,0.0002753058829299129,0,0.06182938043127858,0.005365255492009135,0.1541134753089041,0.1513533878504568,0.06300257937191775,0.20626272647442923,37777300,6.639999000000017
12,2021-01-21,398,342,-0.14301995612516033,12,0.0011790197563540177,0,0.05564927793804646,0.0036208425084318686,0.21067405177326481,0.13363987842570715,0.060299264215938245,0.19985314374010288,30709400,0.27000400000000013
13,2021-01-22,636,562,-0.18787299314211914,16,8.254716981132076e-05,0,0.1315086455982867,0.0038289067335046723,0.17032373887601268,0.10797151964573197,0.13902949822461041,0.16885355275124586,30172700,-1.1300050000000113
14,2021-01-25,1064,993,-0.17487161015232372,17,0.00038668162116582623,0,0.06247877494398933,0.0022884287921515717,0.16418527546184666,0.12700352916379767,0.132637732492456,0.17679017865923383,33152100,0.4100040000000149
15,2021-01-26,1762,1733,-0.17798334700408058,16,0.0007142210397649888,0,0.058848642832244336,0.003422080305747206,0.11491860021797562,0.11724154568157429,0.09250055586175683,0.2244913535077941,49169600,0.47000099999999634
16,2021-01-27,2412,2317,-0.20773010608327874,14,5.419484938369253e-05,0,0.04828176016670468,0.004434351443009558,0.10114981467579723,0.1371897249172577,0.29783187217241497,0.17287391665570542,69870600,-5.100006000000008
17,2021-01-28,1844,1733,-0.19636321170064974,12,0.0,0,0.05120747244313134,0.002951655620569758,0.10764656041074866,0.13813685155713407,0.3314705941359411,0.12046612938749045,49111200,3.319991999999985
18,2021-01-29,1247,1184,-0.22794985534825818,10,0.0,0,0.08695847485385225,0.0046666561689372625,0.23071782399022658,0.13533167773081425,0.11411436676897233,0.14148780726057883,42503100,-4.029998000000006
19,2021-02-01,679,579,-0.10928618493093763,10,5.324619621407694e-05,0,0.12696494639884556,0.010485507969899005,0.19789779127913437,0.09292018481125537,0.056465781352813736,0.148417386606205,33314200,4.589995999999985
20,2021-02-02,675,587,-0.16768842696941277,6,0.00013269954446425033,0,0.06895416717909762,0.005917003368270671,0.1374339893269176,0.13364509390285698,0.10332305376330822,0.21520743388586525,25916300,-1.7900080000000003
21,2021-02-03,1107,1028,-0.19287745585915056,14,0.0,0,0.06814250840259627,0.006609543491736712,0.11940860241253187,0.15638438440895314,0.08942858695264085,0.28810768701620176,27158100,3.429992999999996
22,2021-02-04,800,751,-0.17747231445578265,11,8.722452946465442e-06,0,0.05321558410690832,0.004654942114648726,0.11808480753512804,0.1304190261115934,0.07273742799168564,0.293396784376699,25296100,-0.650008999999983
